  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.29    20.61      0.07      296     0.24     2.97  HP_Indicator#draw
  0.29    20.68      0.07     1776     0.04     0.06  Gosu::Window#gl
  0.29    20.75      0.07     3552     0.02     0.02  Gl.glTexCoord2d
  0.25    20.81      0.06     1776     0.03     0.87  Widget::Div#draw
  0.25    20.87      0.06    14179     0.00     0.00  Float#>
  0.25    20.93      0.06      296     0.20     3.58  MP_Indicator#draw
  0.25    20.99      0.06     7160     0.01     0.01  Float#eql?
  0.25    21.05      0.06     6253     0.01     0.01  Fixnum#/
  0.21    21.10      0.05     2081     0.02     0.02  Widget::Div#height
  0.21    21.15      0.05     7154     0.01     0.01  Kernel.is_a?
  0.21    21.20      0.05     1327     0.04     0.06  Hash#[]=
  0.21    21.25      0.05      296     0.17    13.75  UI_State#draw
  0.21    21.30      0.05     7708     0.01     0.01  CP::Vec2#+
  0.21    21.35      0.05      296     0.17    29.90  Camera::TrimetricCamera#flush
  0.21    21.40      0.05     8515     0.01     0.01  CP::Vec2#*
  0.21    21.45      0.05     2308     0.02     0.33  Physics::Body#elevation
  0.21    21.50      0.05      296     0.17     0.47  Entity#draw
  0.21    21.55      0.05     9267     0.01     0.01  CP::Body#m
  0.21    21.60      0.05     5631     0.01     0.01  Float#-
  0.17    21.64      0.04     1776     0.02     0.02  Gl.glBegin
  0.17    21.68      0.04      296     0.14     0.64  Physics::Space#apply_resistive_force
  0.17    21.72      0.04     1263     0.03     0.03  BasicObject#!=
  0.17    21.76      0.04     1776     0.02     0.02  Gosu::Window#unsafe_gl
  0.17    21.80      0.04     2496     0.02     0.02  Symbol#to_s
  0.17    21.84      0.04      296     0.14     2.64  LevelIndicator#draw
  0.17    21.88      0.04        1    40.00    40.00  Gosu::Image#load_tiles
  0.17    21.92      0.04      296     0.14    15.84  LevelState#draw
  0.17    21.96      0.04     3848     0.01     0.01  Gl.glEnable
  0.17    22.00      0.04      888     0.05     0.05  Glu.gluPartialDisk
  0.17    22.04      0.04      296     0.14     0.78  CP::Space#step
  0.17    22.08      0.04     3848     0.01     0.01  Fixnum#to_f
  0.17    22.12      0.04     3552     0.01     0.01  Fixnum#|
  0.17    22.16      0.04     1776     0.02     0.02  Gl.glPopMatrix
  0.12    22.19      0.03      592     0.05     0.08  Statistics.mp
  0.12    22.22      0.03     7104     0.00     0.00  Gl.glVertex2i
  0.12    22.25      0.03      296     0.10     7.77  Gosu::Window#protected_update
  0.12    22.28      0.03     3852     0.01     0.01  Hash#include?
  0.12    22.31      0.03      296     0.10     0.44  EternityInput#move_player
  0.12    22.34      0.03      888     0.03     0.03  Gl.glBlendFunc
  0.12    22.37      0.03      894     0.03     0.03  Hash#merge!
  0.12    22.40      0.03      296     0.10     1.05  FluxIndicator#draw
  0.12    22.43      0.03     1776     0.02     0.02  Gl.glEnd
  0.12    22.46      0.03     1776     0.02     0.02  Gl.glClear
  0.12    22.49      0.03     2620     0.01     0.01  String#to_sym
  0.12    22.52      0.03      296     0.10     0.27  HP_Indicator#update
  0.12    22.55      0.03     3904     0.01     0.01  Fixnum#*
  0.12    22.58      0.03       11     2.73     2.73  StaticObject#initialize
  0.12    22.61      0.03      940     0.03     0.03  Fixnum#-
  0.12    22.64      0.03      296     0.10    11.35  LevelState#draw_static_object_shadows
  0.12    22.67      0.03     1776     0.02     0.02  Gosu::GLTexInfo#bottom
  0.12    22.70      0.03     3848     0.01     0.01  Gosu::Color#rgba
  0.12    22.73      0.03      296     0.10     0.20  Slope#draw_billboarded
  0.12    22.76      0.03     3270     0.01     0.01  CP::Shape::Poly#num_verts
  0.12    22.79      0.03      997     0.03     0.03  Kernel.hash
  0.12    22.82      0.03      378     0.08     0.19  CollisionHandler::EntitySlope#pre_solve
  0.12    22.85      0.03      888     0.03     0.09  GameWindow#stencil
  0.08    22.87      0.02      888     0.02     0.02  Gosu::Color#green
  0.08    22.89      0.02     4124     0.00     0.00  CP::Vec2#initialize
  0.08    22.91      0.02     6544     0.00     0.00  Fixnum#<
  0.08    22.93      0.02     1776     0.01     0.01  Gosu::GLTexInfo#top
  0.08    22.95      0.02      296     0.07     3.38  StateManager#update
  0.08    22.97      0.02      296     0.07     0.07  Gosu::Window#protected_needs_cursor?
  0.08    22.99      0.02     1776     0.01     0.01  Gl.glDepthMask
  0.08    23.01      0.02     2115     0.01     0.01  Module#method_added
  0.08    23.03      0.02      296     0.07     0.07  Entity#compute_direction
  0.08    23.05      0.02      888     0.02     0.02  Glut.glutInitDisplayMode
  0.08    23.07      0.02      485     0.04     0.08  CP::Shape::Circle#static?
  0.08    23.09      0.02      296     0.07     0.14  Physics::Space#timestep
  0.08    23.11      0.02      976     0.02     0.02  CP::Arbiter#b
  0.08    23.13      0.02     2368     0.01     0.01  Kernel.instance_variable_get
  0.08    23.15      0.02      296     0.07    11.96  LevelState#draw_shadows
  0.08    23.17      0.02     1776     0.01     0.01  Gl.glColorMask
  0.08    23.19      0.02      296     0.07     3.01  EternityInput#update
  0.08    23.21      0.02     3800     0.01     0.01  Kernel.block_given?
  0.08    23.23      0.02      149     0.13     0.54  PhysicsInterface.move
  0.08    23.25      0.02     2072     0.01     0.01  Gosu::Image#draw
  0.08    23.27      0.02      296     0.07    45.91  StateManager#draw
  0.08    23.29      0.02      296     0.07     0.24  MP_Indicator#update
  0.08    23.31      0.02      296     0.07     0.20  Entity#update
  0.08    23.33      0.02     2664     0.01     0.01  Gl.glStencilFunc
  0.08    23.35      0.02      296     0.07     3.68  LevelState#draw_static_objects
  0.08    23.37      0.02      794     0.03     0.03  CP::Body#v
  0.08    23.39      0.02     2079     0.01     0.01  Gosu::Image#width
  0.08    23.41      0.02      592     0.03     0.19  CollisionHandler::EntityEnv#pre_solve
  0.08    23.43      0.02      592     0.03     0.07  Statistics.max_hp
  0.08    23.45      0.02     1554     0.01     0.01  Float#round
  0.08    23.47      0.02      296     0.07     0.30  LevelIndicator#update
  0.08    23.49      0.02      592     0.03     0.08  Statistics.max_mp
  0.04    23.50      0.01     1020     0.01     0.09  Set#add
  0.04    23.51      0.01      888     0.01     0.01  Gosu::Color#blue
  0.04    23.52      0.01      888     0.01     0.01  Slope#height
  0.04    23.53      0.01      296     0.03     0.03  GroundEffect#update
  0.04    23.54      0.01      296     0.03    70.17  Gosu::Window#protected_draw_2
  0.04    23.55      0.01      296     0.03     0.03  Set#empty?
  0.04    23.56      0.01      296     0.03     0.03  FluxIndicator#bubble_fill
  0.04    23.57      0.01     3256     0.00     0.00  CP::BB#initialize
  0.04    23.58      0.01     2664     0.00     0.00  Gl.glTranslatef
  0.04    23.59      0.01      493     0.02     0.02  Method#arity
  0.04    23.60      0.01      888     0.01     0.11  GameWindow#draw_circle
  0.04    23.61      0.01      296     0.03     0.03  Slope#draw_trimetric
  0.04    23.62      0.01      298     0.03     0.03  Kernel.respond_to_missing?
  0.04    23.63      0.01      296     0.03     0.07  LevelState#draw_entities
  0.04    23.64      0.01        1    10.00   100.00  IO#each
  0.04    23.65      0.01       20     0.50     3.00  Building#load_texture
  0.04    23.66      0.01        1    10.00    10.00  Gosu::Window#initialize
  0.04    23.67      0.01        2     5.00     5.00  CP::Space#initialize
  0.04    23.68      0.01       14     0.71     0.71  InputType::BasicInput#bind
  0.04    23.69      0.01     1223     0.01     0.01  BasicObject#singleton_method_added
  0.04    23.70      0.01       10     1.00     1.00  Array#flatten!
  0.04    23.71      0.01      252     0.04     0.04  IO#set_encoding
  0.04    23.72      0.01       84     0.12     0.12  Symbol#===
  0.04    23.73      0.01       13     0.77     0.77  Widget::UI_Object#initialize
  0.04    23.74      0.01       26     0.38     0.38  Widget::Div::Axis::Foo#new
  0.04    23.75      0.01        9     1.11     1.11  Exception2MessageMapper.def_exception
  0.04    23.76      0.01       10     1.00    17.00  RequireAll.require_all
  0.04    23.77      0.01      296     0.03    70.14  GameWindow#draw
  0.04    23.78      0.01     1776     0.01     0.01  Gl.glTexParameteri
  0.04    23.79      0.01     1184     0.01     0.01  Gl.glAlphaFunc
  0.04    23.80      0.01     1776     0.01     0.01  String#length
  0.04    23.81      0.01      296     0.03     0.27  LevelState#update
  0.04    23.82      0.01      296     0.03     1.22  UI_State#update
  0.04    23.83      0.01      966     0.01     0.01  Float#>=
  0.04    23.84      0.01      888     0.01     0.01  Gl.glDisable
  0.04    23.85      0.01     2078     0.00     0.00  Gosu::Image#height
  0.04    23.86      0.01      296     0.03     0.03  Gosu::Window#protected_needs_redraw?
  0.04    23.87      0.01     2972     0.00     0.00  Widget::Div#width
  0.04    23.88      0.01      592     0.02     0.02  Widget::Div#update
  0.04    23.89      0.01     1776     0.01     0.01  Gl.glColor3f
  0.04    23.90      0.01     4440     0.00     0.00  Float#<
  0.04    23.91      0.01      253     0.04     0.04  CP::Vec2#/
  0.04    23.92      0.01      157     0.06     0.06  CP::Vec2#to_angle
  0.04    23.93      0.01      698     0.01     0.37  Physics::Body#in_air?
  0.04    23.94      0.01     1419     0.01     0.01  Fixnum#+
  0.04    23.95      0.01     1776     0.01     0.01  Gosu::GLTexInfo#left
  0.04    23.96      0.01      129     0.08     0.08  Entity#resolve_ground_collision
  0.04    23.97      0.01     1776     0.01     0.01  Gl.glPushMatrix
  0.04    23.98      0.01     1227     0.01     0.01  Float#/
  0.04    23.99      0.01       55     0.18     0.18  Physics::Space#air_resistance
  0.04    24.00      0.01      592     0.02     0.02  Gosu::Image#draw_rot
  0.04    24.01      0.01      296     0.03     1.28  UI_StateManager#update
  0.00    24.01      0.00        1     0.00    10.00  Physics::Space#initialize
  0.00    24.01      0.00        1     0.00     0.00  CP::Space#set_default_collision_func
  0.00    24.01      0.00        2     0.00     0.00  BasicObject#initialize
  0.00    24.01      0.00      593     0.00     0.00  Gosu.milliseconds
  0.00    24.01      0.00        2     0.00     0.00  CP::Space#add_collision_handler
  0.00    24.01      0.00        1     0.00     0.00  CP::Space#iterations=
  0.00    24.01      0.00        1     0.00   240.00  GroundEffect#initialize
  0.00    24.01      0.00        1     0.00   240.00  LevelState#initialize
  0.00    24.01      0.00      150     0.00     0.00  String#+
  0.00    24.01      0.00        1     0.00     0.00  File#initialize
  0.00    24.01      0.00        1     0.00     0.00  IO#open
  0.00    24.01      0.00       43     0.00     0.00  String#split
  0.00    24.01      0.00      176     0.00     0.00  String#==
  0.00    24.01      0.00       69     0.00     0.00  String#to_f
  0.00    24.01      0.00        1     0.00     0.00  String#to_i
  0.00    24.01      0.00       11     0.00     0.00  Array#shift
  0.00    24.01      0.00        1     0.00     0.00  Camera::TrimetricCamera#initialize
  0.00    24.01      0.00       82     0.00     0.00  IO#write
  0.00    24.01      0.00       41     0.00     0.00  IO#puts
  0.00    24.01      0.00       41     0.00     0.00  Kernel.puts
  0.00    24.01      0.00       20     0.00     0.00  File#exist?
  0.00    24.01      0.00        1     0.00     0.00  Camera::TrimetricCamera::TrimetricQueue#initialize
  0.00    24.01      0.00       11     0.00     0.00  Physics::StaticBody#initialize
  0.00    24.01      0.00       24     0.00     0.00  CP::Shape::Poly#initialize
  0.00    24.01      0.00       11     0.00     0.00  Physics::Shape::Poly#initialize
  0.00    24.01      0.00       24     0.00     0.00  CP::Body#p=
  0.00    24.01      0.00      303     0.00     0.00  Gosu::Window#height
  0.00    24.01      0.00       33     0.00     0.00  Kernel.rand
  0.00    24.01      0.00       11     0.00     0.00  Gosu::Color#argb
  0.00    24.01      0.00        9     0.00     0.00  Gosu::Window#width
  0.00    24.01      0.00       10     0.00     8.00  Building#initialize
  0.00    24.01      0.00        1     0.00    50.00  Player#initialize
  0.00    24.01      0.00       11     0.00     0.00  LevelState#add_gameobject
  0.00    24.01      0.00        7     0.00     0.00  Float#to_s
  0.00    24.01      0.00        7     0.00     0.00  Kernel.inspect
  0.00    24.01      0.00        1     0.00     0.00  Symbol#inspect
  0.00    24.01      0.00        1     0.00     0.00  Array#inspect
  0.00    24.01      0.00        1     0.00     0.00  Kernel.p
  0.00    24.01      0.00        1     0.00     0.00  Slope#north_y
  0.00    24.01      0.00        1     0.00     0.00  OuterWear::Trenchcoat#initialize
  0.00    24.01      0.00        1     0.00     0.00  Lower::Pants#initialize
  0.00    24.01      0.00        1     0.00     0.00  Upper::Shirt#initialize
  0.00    24.01      0.00        1     0.00     0.00  Footgear::Shoes#initialize
  0.00    24.01      0.00        1     0.00    50.00  Character#initialize
  0.00    24.01      0.00        1     0.00     0.00  Title_Holder#initialize
  0.00    24.01      0.00        1     0.00     0.00  CP::Shape::Poly#each_vertex_absolute_with_index
  0.00    24.01      0.00        1     0.00     0.00  Slope#slope_verts
  0.00    24.01      0.00        1     0.00    10.00  Slope#initialize
  0.00    24.01      0.00        1     0.00     0.00  PhysicsInterface.warp
  0.00    24.01      0.00        1     0.00   340.00  LevelState#load
  0.00    24.01      0.00        1     0.00   340.00  StateManager#load
  0.00    24.01      0.00       48     0.00     0.00  Hash#delete
  0.00    24.01      0.00       11     0.00     0.00  CP::Space#add_static_shape
  0.00    24.01      0.00       11     0.00     0.00  StaticObject#add_to
  0.00    24.01      0.00       49     0.00     0.00  CP::Vec2#y=
  0.00    24.01      0.00       45     0.00     0.00  CP::Vec2#x=
  0.00    24.01      0.00        1     0.00    50.00  Entity#initialize
  0.00    24.01      0.00        1     0.00     0.00  LevelState#add_to
  0.00    24.01      0.00        1     0.00     0.00  StateManager#push
  0.00    24.01      0.00        1     0.00     0.00  CP::Space#add_shape
  0.00    24.01      0.00        1     0.00     0.00  Physics::Space#add_shape
  0.00    24.01      0.00        1     0.00     0.00  CP::Space#add_body
  0.00    24.01      0.00        1     0.00     0.00  CP::Space#point_query
  0.00    24.01      0.00        1     0.00     0.00  Statistics.init_stats
  0.00    24.01      0.00        1     0.00     0.00  Physics::Space#set_initial_elevation
  0.00    24.01      0.00        1     0.00     0.00  Physics::Space#add_body
  0.00    24.01      0.00        1     0.00     0.00  PhysicsInterface.add_to
  0.00    24.01      0.00        1     0.00     0.00  LevelState#add_player
  0.00    24.01      0.00        1     0.00     0.00  StateManager#add_player
  0.00    24.01      0.00        1     0.00   350.00  StateManager#initialize
  0.00    24.01      0.00        3     0.00     0.00  Gosu::Color#initialize
  0.00    24.01      0.00       13     0.00     0.00  Hash#initialize_copy
  0.00    24.01      0.00       13     0.00     0.00  Hash#merge
  0.00    24.01      0.00       26     0.00     0.00  BasicObject#==
  0.00    24.01      0.00        1     0.00     0.00  PhysicsInterface.init_physics
  0.00    24.01      0.00       26     0.00     0.00  Struct#initialize
  0.00    24.01      0.00        1     0.00     0.00  CP::Shape.u=
  0.00    24.01      0.00       13     0.00     0.77  Widget::Div::Axis#initialize
  0.00    24.01      0.00       25     0.00     0.00  Widget::Div#static_sized_dimension
  0.00    24.01      0.00       81     0.00     0.00  Widget::Div::Axis#dimension
  0.00    24.01      0.00       53     0.00     0.00  Widget::Div::Axis::Foo#low
  0.00    24.01      0.00       25     0.00     0.00  Widget::Div#static_sized_position
  0.00    24.01      0.00      322     0.00    42.20  Enumerable.each_with_index
  0.00    24.01      0.00        1     0.00     0.00  CP::Body#v_limit=
  0.00    24.01      0.00       13     0.00     1.54  Widget::Div#margin
  0.00    24.01      0.00       13     0.00     0.00  CP::Body#new_static
  0.00    24.01      0.00       13     0.00     0.00  CP::Shape::Rect#initialize
  0.00    24.01      0.00       13     0.00     0.00  Physics::Shape::Rect#initialize
  0.00    24.01      0.00       13     0.00     0.00  Widget::Div#init_physics
  0.00    24.01      0.00       26     0.00     0.00  CP::Shape.collision_type=
  0.00    24.01      0.00       13     0.00     0.00  Widget::Background::Colored.init_background
  0.00    24.01      0.00       13     0.00     4.62  Widget::Div#initialize
  0.00    24.01      0.00        1     0.00     0.00  Physics::Shape::Circle#initialize
  0.00    24.01      0.00        1     0.00     0.00  CP::Shape::Circle#initialize
  0.00    24.01      0.00        1     0.00     0.00  Camera::TopDownCamera#initialize
  0.00    24.01      0.00        1     0.00     0.00  Camera::TopDownCamera#follow
  0.00    24.01      0.00        1     0.00     0.00  Map#initialize
  0.00    24.01      0.00        1     0.00    10.00  Numeric#to_meters
  0.00    24.01      0.00        3     0.00     0.00  Float#to_f
  0.00    24.01      0.00       28     0.00     0.00  Widget::Div::Axis::Foo#high
  0.00    24.01      0.00        9     0.00     0.00  Gosu::Font#height
  0.00    24.01      0.00        1     0.00     0.00  Physics::Body#initialize
  0.00    24.01      0.00        1     0.00     0.00  Widget::Div#static_stretched_dimension
  0.00    24.01      0.00        5     0.00     0.00  NilClass#nil?
  0.00    24.01      0.00       12     0.00     0.00  CP::Body#initialize
  0.00    24.01      0.00        8     0.00     8.75  Widget::Label#text_align
  0.00    24.01      0.00        8     0.00     0.00  Widget::Label#vertical_align
  0.00    24.01      0.00        5     0.00     6.00  Widget::Label#initialize
  0.00    24.01      0.00        1     0.00    20.00  LevelIndicator#initialize
  0.00    24.01      0.00        3     0.00     0.00  Kernel.lambda
  0.00    24.01      0.00        1     0.00     0.00  FluxIndicator#initialize
  0.00    24.01      0.00        8     0.00     0.00  Fixnum#%
  0.00    24.01      0.00        1     0.00    30.00  MP_Indicator#initialize
  0.00    24.01      0.00        1     0.00    20.00  HP_Indicator#initialize
  0.00    24.01      0.00        2     0.00     5.00  WeaponIndicator#initialize
  0.00    24.01      0.00        1     0.00    90.00  UI_State#initialize
  0.00    24.01      0.00        1     0.00    90.00  UI_StateManager#initialize
  0.00    24.01      0.00        1     0.00     0.00  InputHandler#initialize
  0.00    24.01      0.00        3     0.00     0.00  InputHandler#mode=
  0.00    24.01      0.00       14     0.00     0.00  Symbol#capitalize
  0.00    24.01      0.00       14     0.00     0.00  Kernel.eval
  0.00    24.01      0.00       14     0.00     0.00  InputType::BasicInput#initialize
  0.00    24.01      0.00       14     0.00     0.00  InputType::Action#initialize
  0.00    24.01      0.00       19     0.00     0.00  InputHandler#new_action
  0.00    24.01      0.00        1     0.00     0.00  EternityInput#init_gameplay_inputs
  0.00    24.01      0.00       11     0.00     0.00  String#to_str
  0.00    24.01      0.00       14     0.00     0.71  InputHandler#bind_action
  0.00    24.01      0.00        2     0.00     0.00  Gosu::Window#char_to_button_id
  0.00    24.01      0.00        1     0.00    10.00  EternityInput#bind_gameplay_inputs
  0.00    24.01      0.00        1     0.00     0.00  EternityInput#init_map_inputs
  0.00    24.01      0.00        1     0.00     0.00  EternityInput#bind_map_inputs
  0.00    24.01      0.00        1     0.00    10.00  EternityInput#initialize
  0.00    24.01      0.00        1     0.00   510.00  GameWindow#initialize
  0.00    24.01      0.00      296     0.00     0.00  GameWindow#needs_cursor?
  0.00    24.01      0.00        6     0.00     0.00  Gosu::Font#initialize
  0.00    24.01      0.00        1     0.00     0.00  Gosu::Window#caption=
  0.00    24.01      0.00        1     0.00    30.00  Kernel.gem_original_require
  0.00    24.01      0.00       11     0.00     0.00  main.include
  0.00    24.01      0.00       28     0.00     0.00  String#[]
  0.00    24.01      0.00        1     0.00     0.00  String#rindex
  0.00    24.01      0.00        1     0.00     0.00  File#dirname
  0.00    24.01      0.00      296     0.00     2.50  InputHandler#update
  0.00    24.01      0.00      296     0.00     0.00  Hash#empty?
  0.00    24.01      0.00        1     0.00     0.00  Dir#pwd
  0.00    24.01      0.00        4     0.00     0.00  Entity#flux
  0.00    24.01      0.00        4     0.00     0.00  Entity#control
  0.00    24.01      0.00        4     0.00     0.00  Entity#power
  0.00    24.01      0.00        4     0.00     0.00  Entity#dexterity
  0.00    24.01      0.00        4     0.00     0.00  Entity#constitution
  0.00    24.01      0.00        4     0.00     0.00  Entity#strength
  0.00    24.01      0.00        1     0.00    10.00  Statistics.included
  0.00    24.01      0.00      445     0.00     0.00  CP::Vec2#length
  0.00    24.01      0.00        1     0.00    10.00  Module#class_eval
  0.00    24.01      0.00      493     0.00     0.00  Kernel.method
  0.00    24.01      0.00        2     0.00     5.00  Statistics::ClassMethods.stats
  0.00    24.01      0.00       10     0.00     0.00  CollisionHandler::EntityEnv#begin
  0.00    24.01      0.00      976     0.00     0.00  CP::Arbiter#a
  0.00    24.01      0.00        1     0.00     0.00  Element#initialize
  0.00    24.01      0.00        3     0.00     0.00  Spells::Spell#charge_time
  0.00    24.01      0.00        3     0.00     0.00  Spells::Spell#power
  0.00    24.01      0.00        3     0.00     0.00  Spells::Spell#mp_cost
  0.00    24.01      0.00      296     0.00     0.00  CP::Body#reset_forces
  0.00    24.01      0.00      296     0.00     3.04  Physics::Space#step
  0.00    24.01      0.00      296     0.00     0.00  CP::Body#a
  0.00    24.01      0.00        3     0.00     0.00  Spells::Spell#area_of_effect
  0.00    24.01      0.00        3     0.00     0.00  Spells::Spell#range
  0.00    24.01      0.00      296     0.00     0.20  Player#update
  0.00    24.01      0.00        3     0.00     0.00  Fixnum#>
  0.00    24.01      0.00        3     0.00     0.00  Spells::Spell#attributes
  0.00    24.01      0.00        8     0.00     0.00  Set#initialize
  0.00    24.01      0.00        3     0.00     0.00  Set#merge
  0.00    24.01      0.00        3     0.00     0.00  Set#do_with_enum
  0.00    24.01      0.00     1759     0.00     0.00  Fixnum#to_s
  0.00    24.01      0.00        3     0.00     0.00  Enumerable.each_entry
  0.00    24.01      0.00       11     0.00     0.00  Kernel.respond_to?
  0.00    24.01      0.00        3     0.00     0.00  Kernel.instance_of?
  0.00    24.01      0.00        5     0.00     0.00  Kernel.class
  0.00    24.01      0.00        3     0.00     0.00  Kernel.nil?
  0.00    24.01      0.00        4     0.00     0.00  Spells::Spell#element
  0.00    24.01      0.00       20     0.00     0.00  Hash#initialize
  0.00    24.01      0.00        1     0.00     0.00  Spells::Spell#stats
  0.00    24.01      0.00       12     0.00     0.00  Object#meta_eval
  0.00    24.01      0.00       12     0.00     0.00  Object#metaclass
  0.00    24.01      0.00        3     0.00     0.00  Struct#new
  0.00    24.01      0.00        1     0.00     0.00  Kernel.printf
  0.00    24.01      0.00      296     0.00     7.67  GameWindow#update
  0.00    24.01      0.00        1     0.00     0.00  Matrix#inverse
  0.00    24.01      0.00      296     0.00     0.00  Gosu::Window#needs_redraw?
  0.00    24.01      0.00        1     0.00     0.00  Matrix#inverse_from
  0.00    24.01      0.00        2     0.00     0.00  Numeric#quo
  0.00    24.01      0.00        2     0.00     0.00  Rational#/
  0.00    24.01      0.00        2     0.00     0.00  Rational#to_f
  0.00    24.01      0.00        2     0.00     0.00  Fixnum#fdiv
  0.00    24.01      0.00        5     0.00     0.00  Float#quo
  0.00    24.01      0.00       13     0.00     0.00  Integer#upto
  0.00    24.01      0.00        3     0.00     0.00  Float#abs
  0.00    24.01      0.00        1     0.00     0.00  Matrix#to_a
  0.00    24.01      0.00        1     0.00     0.00  Array#collect
  0.00    24.01      0.00        2     0.00     0.00  Kernel.dup
  0.00    24.01      0.00       15     0.00     0.00  Kernel.initialize_dup
  0.00    24.01      0.00        2     0.00     0.00  Array#initialize_copy
  0.00    24.01      0.00        1     0.00     0.00  Symbol#to_proc
  0.00    24.01      0.00      296     0.00     0.54  LevelState#draw_entity_shadows
  0.00    24.01      0.00        1     0.00     0.00  Kernel.proc
  0.00    24.01      0.00      296     0.00     0.00  LevelState#draw_ground_effects
  0.00    24.01      0.00        1     0.00     0.00  Matrix#identity
  0.00    24.01      0.00        1     0.00     0.00  Matrix#scalar
  0.00    24.01      0.00        1     0.00     0.00  Matrix#diagonal
  0.00    24.01      0.00      152     0.00     0.00  Array#[]=
  0.00    24.01      0.00        1     0.00     0.00  Matrix#square?
  0.00    24.01      0.00        2     0.00     0.00  Matrix#*
  0.00    24.01      0.00      174     0.00     0.00  Array#initialize
  0.00    24.01      0.00       10     0.00     0.00  Enumerable.inject
